investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
Deutsche Bank,Commit,1500,250,1,Market,2,157,4.7,Bookrunner,Bookrunner,None,0.029936305732484077,0.16666666666666666
Deutsche Bank,Decline,1200,250,4,Market,1,97,8.1,Bookrunner,Bookrunner,None,0.08350515463917525,0.20833333333333334
Deutsche Bank,Commit,1400,230,10,Market,0,169,37.0,Bookrunner,Bookrunner,None,0.21893491124260356,0.16428571428571428
Deutsche Bank,Decline,1400,200,9,Market,0,71,0.7,Bookrunner,Bookrunner,None,0.009859154929577464,0.14285714285714285
Deutsche Bank,Commit,1500,220,2,Market,2,135,3.2,Participant,Bookrunner,Promoted,0.023703703703703706,0.14666666666666667
Deutsche Bank,Commit,1300,190,5,Market,1,119,16.4,Participant,Bookrunner,Promoted,0.13781512605042015,0.14615384615384616
Goldman Sachs,Commit,1600,120,6,Market,1,134,0.5,Participant,Participant,None,0.0037313432835820895,0.075
Bank of America,Commit,700,90,1,Market,3,258,16.3,Participant,Bookrunner,Promoted,0.06317829457364342,0.12857142857142856
Deutsche Bank,Decline,700,90,1,Market,2,36,3.1,Bookrunner,Bookrunner,None,0.08611111111111111,0.12857142857142856
Goldman Sachs,Commit,600,90,1,Market,2,68,4.8,Participant,Bookrunner,Promoted,0.07058823529411765,0.15
Deutsche Bank,Commit,1700,300,9,Below,1,581,51.7,Bookrunner,Bookrunner,None,0.08898450946643718,0.17647058823529413
Bank of America,Commit,500,70,4,Below,1,71,18.5,Bookrunner,Bookrunner,None,0.2605633802816901,0.14
Bank of America,Commit,600,90,4,Market,1,66,15.0,Bookrunner,Bookrunner,None,0.22727272727272727,0.15
Goldman Sachs,Decline,1800,160,9,Below,0,172,24.4,Bookrunner,Participant,Demoted,0.14186046511627906,0.08888888888888889
Wells Fargo,Commit,200,30,2,Market,1,4,0.5,Bookrunner,Bookrunner,None,0.125,0.15
Goldman Sachs,Commit,800,150,3,Below,3,126,29.0,Participant,Bookrunner,Promoted,0.23015873015873015,0.1875
MUFG Union,Commit,1400,160,6,Market,1,158,39.2,Bookrunner,Participant,Demoted,0.24810126582278483,0.11428571428571428
MUFG Union,Commit,1300,250,5,Market,1,129,35.2,Bookrunner,Bookrunner,None,0.27286821705426356,0.19230769230769232
Goldman Sachs,Commit,1000,140,7,Market,0,27,3.5,Bookrunner,Bookrunner,None,0.12962962962962962,0.14
Wells Fargo,Commit,1300,210,2,Market,2,106,25.8,Bookrunner,Bookrunner,None,0.24339622641509434,0.16153846153846155
Goldman Sachs,Commit,1700,220,5,Market,1,223,30.6,Bookrunner,Bookrunner,None,0.13721973094170403,0.12941176470588237
Wells Fargo,Commit,500,110,2,Market,2,52,12.7,Bookrunner,Bookrunner,None,0.24423076923076922,0.22
Bank of America,Commit,400,50,1,Market,3,65,5.3,Bookrunner,Bookrunner,None,0.08153846153846153,0.125
Deutsche Bank,Commit,1600,310,8,Market,0,167,25.4,Participant,Bookrunner,Promoted,0.15209580838323353,0.19375
Goldman Sachs,Decline,500,80,2,Above,2,31,2.6,Bookrunner,Bookrunner,None,0.08387096774193549,0.16
Goldman Sachs,Commit,600,90,5,Below,1,59,15.2,Bookrunner,Bookrunner,None,0.2576271186440678,0.15
MUFG Union,Commit,1900,210,9,Below,1,286,66.9,Bookrunner,Participant,Demoted,0.23391608391608393,0.11052631578947368
Bank of America,Commit,400,80,2,Market,2,45,17.2,Bookrunner,Bookrunner,None,0.3822222222222222,0.2
Goldman Sachs,Commit,300,50,2,Market,2,37,5.8,Participant,Bookrunner,Promoted,0.15675675675675677,0.16666666666666666
Wells Fargo,Commit,1000,90,5,Market,1,82,14.9,Bookrunner,Participant,Demoted,0.18170731707317073,0.09
Bank of America,Commit,700,100,1,Market,1,18,2.2,Bookrunner,Bookrunner,None,0.12222222222222223,0.14285714285714285
MUFG Union,Commit,700,150,3,Above,2,83,5.5,Bookrunner,Bookrunner,None,0.06626506024096386,0.21428571428571427
Wells Fargo,Commit,800,120,2,Above,2,96,5.2,Bookrunner,Bookrunner,None,0.05416666666666667,0.15
Deutsche Bank,Commit,800,110,2,Above,2,63,8.9,Bookrunner,Bookrunner,None,0.14126984126984127,0.1375
Wells Fargo,Commit,400,80,1,Market,1,15,4.9,Bookrunner,Bookrunner,None,0.3266666666666667,0.2
Bank of America,Commit,900,130,2,Market,3,150,4.5,Bookrunner,Bookrunner,None,0.03,0.14444444444444443
MUFG Union,Commit,1000,190,3,Market,2,134,3.9,Bookrunner,Bookrunner,None,0.029104477611940297,0.19
MUFG Union,Commit,2100,360,5,Market,1,155,50.7,Bookrunner,Bookrunner,None,0.3270967741935484,0.17142857142857143
Bank of America,Commit,1100,140,10,Market,0,110,2.2,Bookrunner,Bookrunner,None,0.02,0.12727272727272726
Wells Fargo,Commit,1200,140,7,Market,0,147,0.0,Participant,Bookrunner,Promoted,0.0,0.11666666666666667
Bank of America,Commit,1100,110,2,Market,2,94,2.2,Participant,Participant,None,0.02340425531914894,0.1
Goldman Sachs,Commit,500,70,3,Market,2,48,10.1,Participant,Bookrunner,Promoted,0.21041666666666667,0.14
Bank of America,Commit,400,50,2,Market,2,42,4.8,Bookrunner,Bookrunner,None,0.11428571428571428,0.125
Goldman Sachs,Commit,800,170,2,Market,2,105,25.1,Bookrunner,Bookrunner,None,0.23904761904761906,0.2125
Bank of America,Decline,1300,150,3,Market,2,143,15.9,Bookrunner,Participant,Demoted,0.11118881118881119,0.11538461538461539
Bank of America,Decline,300,40,1,Market,1,10,0.2,Participant,Participant,None,0.02,0.13333333333333333
Goldman Sachs,Commit,900,140,2,Market,1,45,4.5,Bookrunner,Bookrunner,None,0.1,0.15555555555555556
MUFG Union,Decline,900,70,2,Market,2,60,10.4,Bookrunner,Participant,Demoted,0.17333333333333334,0.07777777777777778
Bank of America,Commit,1700,240,9,Market,0,144,12.8,Bookrunner,Bookrunner,None,0.08888888888888889,0.1411764705882353
Goldman Sachs,Commit,1300,200,10,Market,1,210,16.8,Bookrunner,Bookrunner,None,0.08,0.15384615384615385
Wells Fargo,Commit,700,90,2,Market,2,75,17.9,Bookrunner,Bookrunner,None,0.23866666666666664,0.12857142857142856
Deutsche Bank,Commit,700,130,3,Market,2,55,11.6,Participant,Bookrunner,Promoted,0.2109090909090909,0.18571428571428572
Goldman Sachs,Decline,600,60,3,Market,3,90,20.8,Bookrunner,Participant,Demoted,0.23111111111111113,0.1
MUFG Union,Commit,1700,240,9,Market,0,161,26.2,Bookrunner,Bookrunner,None,0.16273291925465838,0.1411764705882353
Goldman Sachs,Commit,1100,150,6,Market,2,188,10.7,Bookrunner,Bookrunner,None,0.056914893617021275,0.13636363636363635
Deutsche Bank,Commit,1800,380,10,Market,0,211,72.0,Bookrunner,Bookrunner,None,0.3412322274881517,0.2111111111111111
Deutsche Bank,Commit,1100,200,9,Below,0,108,17.4,Bookrunner,Bookrunner,None,0.1611111111111111,0.18181818181818182
Wells Fargo,Commit,1000,70,8,Market,0,115,19.9,Bookrunner,Participant,Demoted,0.17304347826086955,0.07
MUFG Union,Decline,1300,140,7,Market,0,137,16.4,Bookrunner,Participant,Demoted,0.11970802919708028,0.1076923076923077
Deutsche Bank,Decline,900,140,2,Market,2,73,5.1,Bookrunner,Bookrunner,None,0.06986301369863013,0.15555555555555556
Bank of America,Commit,1400,160,6,Above,1,93,20.6,Bookrunner,Participant,Demoted,0.22150537634408604,0.11428571428571428
Wells Fargo,Commit,900,210,2,Market,2,76,17.6,Bookrunner,Bookrunner,None,0.23157894736842108,0.23333333333333334
Wells Fargo,Commit,800,100,3,Market,2,93,13.6,Bookrunner,Bookrunner,None,0.14623655913978495,0.125
Bank of America,Commit,700,110,2,Market,2,61,2.4,Bookrunner,Bookrunner,None,0.039344262295081964,0.15714285714285714
Goldman Sachs,Commit,2000,220,6,Market,1,283,44.7,Bookrunner,Participant,Demoted,0.1579505300353357,0.11
Bank of America,Commit,1100,230,10,Market,0,62,5.4,Bookrunner,Bookrunner,None,0.08709677419354839,0.20909090909090908
Wells Fargo,Decline,500,70,4,Below,1,71,2.6,Bookrunner,Bookrunner,None,0.036619718309859155,0.14
MUFG Union,Commit,500,70,2,Market,2,57,12.7,Bookrunner,Bookrunner,None,0.22280701754385965,0.14
Wells Fargo,Commit,500,70,3,Below,2,65,18.0,Bookrunner,Bookrunner,None,0.27692307692307694,0.14
Bank of America,Commit,1200,160,2,Market,2,175,25.6,Bookrunner,Bookrunner,None,0.1462857142857143,0.13333333333333333
Bank of America,Commit,1200,160,3,Below,2,133,6.4,Bookrunner,Bookrunner,None,0.0481203007518797,0.13333333333333333
Goldman Sachs,Decline,1000,60,2,Market,2,116,6.3,Bookrunner,Participant,Demoted,0.054310344827586204,0.06
Wells Fargo,Commit,1300,180,4,Market,2,238,47.1,Bookrunner,Bookrunner,None,0.19789915966386556,0.13846153846153847
MUFG Union,Commit,1200,200,7,Market,0,68,10.3,Participant,Bookrunner,Promoted,0.15147058823529413,0.16666666666666666
MUFG Union,Decline,300,20,2,Market,2,28,5.7,Bookrunner,Participant,Demoted,0.20357142857142857,0.06666666666666667
Deutsche Bank,Decline,1100,190,10,Below,0,82,5.7,Bookrunner,Bookrunner,None,0.06951219512195123,0.17272727272727273
MUFG Union,Decline,1900,160,9,Market,0,197,20.5,Bookrunner,Participant,Demoted,0.10406091370558376,0.08421052631578947
Deutsche Bank,Commit,1400,230,9,Market,0,152,11.6,Bookrunner,Bookrunner,None,0.07631578947368421,0.16428571428571428
Deutsche Bank,Commit,1400,200,9,Market,0,71,19.2,Bookrunner,Bookrunner,None,0.2704225352112676,0.14285714285714285
MUFG Union,Commit,1500,290,3,Market,2,140,36.3,Bookrunner,Bookrunner,None,0.2592857142857143,0.19333333333333333
Goldman Sachs,Decline,1700,220,6,Below,0,48,1.2,Bookrunner,Bookrunner,None,0.024999999999999998,0.12941176470588237
Bank of America,Commit,800,120,1,Market,2,52,14.9,Bookrunner,Bookrunner,None,0.2865384615384615,0.15
Deutsche Bank,Decline,500,70,2,Below,3,80,3.0,Bookrunner,Bookrunner,None,0.0375,0.14
MUFG Union,Commit,1200,200,1,Market,2,219,63.5,Bookrunner,Bookrunner,None,0.2899543378995434,0.16666666666666666
Goldman Sachs,Commit,700,110,3,Market,2,62,0.0,Participant,Bookrunner,Promoted,0.0,0.15714285714285714
Goldman Sachs,Commit,800,140,2,Market,2,118,2.6,Bookrunner,Bookrunner,None,0.022033898305084745,0.175
Bank of America,Commit,1700,300,6,Below,0,48,13.6,Bookrunner,Bookrunner,None,0.2833333333333333,0.17647058823529413
Deutsche Bank,Decline,1500,240,3,Market,2,79,7.3,Bookrunner,Bookrunner,None,0.09240506329113923,0.16
Deutsche Bank,Commit,1600,220,2,Market,2,189,12.3,Bookrunner,Bookrunner,None,0.06507936507936508,0.1375
Deutsche Bank,Commit,1200,200,4,Market,1,140,37.2,Participant,Bookrunner,Promoted,0.26571428571428574,0.16666666666666666
Deutsche Bank,Commit,1700,330,2,Below,2,246,64.9,Bookrunner,Bookrunner,None,0.26382113821138214,0.19411764705882353
MUFG Union,Commit,800,140,1,Market,1,11,1.3,Bookrunner,Bookrunner,None,0.11818181818181818,0.175
MUFG Union,Commit,1600,250,5,Market,0,73,8.9,Bookrunner,Bookrunner,None,0.12191780821917808,0.15625
Wells Fargo,Commit,500,90,1,Above,3,75,8.8,Bookrunner,Bookrunner,None,0.11733333333333335,0.18
Deutsche Bank,Commit,900,140,1,Market,1,40,2.7,Participant,Bookrunner,Promoted,0.0675,0.15555555555555556
Bank of America,Commit,900,120,3,Market,2,64,1.6,Bookrunner,Bookrunner,None,0.025,0.13333333333333333
Wells Fargo,Commit,1100,200,5,Market,1,126,23.6,Bookrunner,Bookrunner,None,0.1873015873015873,0.18181818181818182
MUFG Union,Commit,500,80,1,Above,2,49,9.3,Bookrunner,Bookrunner,None,0.18979591836734697,0.16
Bank of America,Commit,800,130,2,Market,2,89,2.6,Bookrunner,Bookrunner,None,0.029213483146067417,0.1625
Goldman Sachs,Commit,1200,230,9,Market,0,95,6.5,Bookrunner,Bookrunner,None,0.06842105263157895,0.19166666666666668
Goldman Sachs,Commit,1100,230,8,Market,0,79,29.1,Bookrunner,Bookrunner,None,0.36835443037974686,0.20909090909090908
MUFG Union,Commit,1500,180,1,Below,3,232,48.5,Bookrunner,Bookrunner,None,0.20905172413793102,0.12
Bank of America,Commit,1500,210,9,Market,0,216,38.4,Bookrunner,Bookrunner,None,0.17777777777777778,0.14
MUFG Union,Commit,700,100,1,Market,2,41,3.2,Bookrunner,Bookrunner,None,0.07804878048780488,0.14285714285714285
Wells Fargo,Commit,500,100,2,Market,2,49,11.0,Bookrunner,Bookrunner,None,0.22448979591836735,0.2
MUFG Union,Decline,1200,140,9,Market,0,157,18.4,Bookrunner,Participant,Demoted,0.11719745222929935,0.11666666666666667
Wells Fargo,Commit,1500,200,1,Market,2,183,30.7,Bookrunner,Bookrunner,None,0.16775956284153004,0.13333333333333333
Wells Fargo,Commit,1000,230,2,Market,2,91,27.6,Bookrunner,Bookrunner,None,0.30329670329670333,0.23
Wells Fargo,Commit,1900,290,5,Market,1,133,23.7,Bookrunner,Bookrunner,None,0.17819548872180452,0.15263157894736842
Deutsche Bank,Decline,400,40,1,Market,1,2,0.5,Bookrunner,Participant,Demoted,0.25,0.1
Bank of America,Commit,1000,120,5,Market,2,173,19.7,Participant,Bookrunner,Promoted,0.1138728323699422,0.12
Wells Fargo,Decline,600,80,1,Below,2,54,7.2,Bookrunner,Bookrunner,None,0.13333333333333333,0.13333333333333333
Goldman Sachs,Commit,1100,230,6,Market,1,133,9.7,Bookrunner,Bookrunner,None,0.07293233082706767,0.20909090909090908
Wells Fargo,Commit,400,80,2,Market,2,42,6.6,Bookrunner,Bookrunner,None,0.15714285714285714,0.2
Bank of America,Commit,200,30,2,Market,2,26,2.5,Bookrunner,Bookrunner,None,0.09615384615384616,0.15
Goldman Sachs,Commit,600,90,1,Below,2,54,11.4,Bookrunner,Bookrunner,None,0.2111111111111111,0.15
Wells Fargo,Commit,700,130,3,Market,2,41,2.1,Bookrunner,Bookrunner,None,0.051219512195121955,0.18571428571428572
Deutsche Bank,Decline,1000,200,9,Market,0,84,2.6,Bookrunner,Bookrunner,None,0.030952380952380953,0.2
Bank of America,Commit,1300,180,1,Market,2,144,34.8,Bookrunner,Bookrunner,None,0.24166666666666664,0.13846153846153847
Wells Fargo,Commit,1200,170,9,Market,0,145,18.9,Bookrunner,Bookrunner,None,0.13034482758620689,0.14166666666666666
Wells Fargo,Commit,1500,270,7,Market,0,192,8.4,Bookrunner,Bookrunner,None,0.043750000000000004,0.18
Bank of America,Commit,800,110,2,Market,1,35,8.3,Bookrunner,Bookrunner,None,0.23714285714285716,0.1375
Goldman Sachs,Decline,700,100,1,Below,2,50,2.9,Bookrunner,Bookrunner,None,0.057999999999999996,0.14285714285714285
Wells Fargo,Commit,600,70,2,Market,2,53,0.4,Bookrunner,Bookrunner,None,0.007547169811320755,0.11666666666666667
Bank of America,Commit,600,80,1,Market,2,82,4.6,Bookrunner,Bookrunner,None,0.05609756097560975,0.13333333333333333
MUFG Union,Commit,1000,150,9,Market,0,84,9.2,Participant,Bookrunner,Promoted,0.10952380952380951,0.15
Goldman Sachs,Decline,900,130,2,Market,2,73,1.8,Bookrunner,Bookrunner,None,0.024657534246575342,0.14444444444444443
Wells Fargo,Commit,600,90,2,Market,2,83,16.0,Bookrunner,Bookrunner,None,0.1927710843373494,0.15
Wells Fargo,Commit,1200,200,1,Above,2,171,31.8,Bookrunner,Bookrunner,None,0.18596491228070175,0.16666666666666666
Deutsche Bank,Decline,500,80,3,Market,2,71,6.0,Bookrunner,Bookrunner,None,0.08450704225352113,0.16
Goldman Sachs,Commit,1000,150,9,Market,1,181,24.3,Bookrunner,Bookrunner,None,0.13425414364640884,0.15
Bank of America,Commit,1700,250,6,Below,0,48,10.0,Bookrunner,Bookrunner,None,0.20833333333333334,0.14705882352941177
MUFG Union,Commit,1500,250,6,Market,1,91,16.7,Bookrunner,Bookrunner,None,0.1835164835164835,0.16666666666666666
MUFG Union,Commit,1100,170,4,Market,1,114,0.5,Bookrunner,Bookrunner,None,0.0043859649122807015,0.15454545454545454
Goldman Sachs,Decline,600,90,2,Market,2,57,1.9,Bookrunner,Bookrunner,None,0.03333333333333333,0.15
Bank of America,Commit,600,110,2,Below,2,65,9.0,Bookrunner,Bookrunner,None,0.13846153846153847,0.18333333333333332
Wells Fargo,Decline,1100,190,6,Below,1,99,11.3,Bookrunner,Bookrunner,None,0.11414141414141415,0.17272727272727273
Bank of America,Commit,1100,160,5,Above,0,48,0.0,Participant,Bookrunner,Promoted,0.0,0.14545454545454545
Wells Fargo,Decline,500,90,1,Below,2,45,0.8,Bookrunner,Bookrunner,None,0.017777777777777778,0.18
Goldman Sachs,Decline,800,130,2,Market,1,36,0.8,Bookrunner,Bookrunner,None,0.022222222222222223,0.1625
Bank of America,Commit,1300,200,9,Market,0,95,22.6,Bookrunner,Bookrunner,None,0.23789473684210527,0.15384615384615385
Goldman Sachs,Commit,1800,310,6,Market,2,305,4.9,Participant,Bookrunner,Promoted,0.016065573770491805,0.17222222222222222
Wells Fargo,Decline,900,70,2,Market,2,94,11.4,Bookrunner,Participant,Demoted,0.12127659574468086,0.07777777777777778
Goldman Sachs,Commit,1000,130,5,Market,1,132,10.7,Bookrunner,Bookrunner,None,0.08106060606060606,0.13
Wells Fargo,Commit,1600,180,2,Market,2,144,6.3,Participant,Participant,None,0.04375,0.1125
Goldman Sachs,Decline,1100,110,9,Market,0,78,11.7,Bookrunner,Participant,Demoted,0.15,0.1
Bank of America,Decline,500,40,1,Market,3,76,3.9,Bookrunner,Participant,Demoted,0.05131578947368421,0.08
Wells Fargo,Commit,700,90,4,Market,1,66,11.4,Bookrunner,Bookrunner,None,0.17272727272727273,0.12857142857142856
Goldman Sachs,Commit,1500,230,6,Above,2,295,46.3,Bookrunner,Bookrunner,None,0.15694915254237288,0.15333333333333332
MUFG Union,Commit,300,40,4,Market,1,27,4.8,Bookrunner,Bookrunner,None,0.17777777777777778,0.13333333333333333
Wells Fargo,Commit,600,110,2,Market,2,84,27.0,Bookrunner,Bookrunner,None,0.32142857142857145,0.18333333333333332
MUFG Union,Commit,1000,150,4,Market,1,133,0.0,Participant,Bookrunner,Promoted,0.0,0.15
Wells Fargo,Commit,300,40,2,Market,2,43,5.1,Bookrunner,Bookrunner,None,0.11860465116279069,0.13333333333333333
Deutsche Bank,Decline,1300,190,4,Market,1,120,7.8,Bookrunner,Bookrunner,None,0.065,0.14615384615384616
MUFG Union,Commit,2300,280,10,Market,1,372,9.7,Participant,Bookrunner,Promoted,0.0260752688172043,0.12173913043478261
Goldman Sachs,Commit,700,110,2,Market,2,57,11.0,Bookrunner,Bookrunner,None,0.19298245614035087,0.15714285714285714
MUFG Union,Commit,1200,180,4,Market,1,140,8.1,Participant,Bookrunner,Promoted,0.05785714285714286,0.15
Goldman Sachs,Commit,1200,160,9,Market,0,149,10.9,Bookrunner,Bookrunner,None,0.07315436241610739,0.13333333333333333
Wells Fargo,Commit,500,80,2,Market,2,60,0.8,Bookrunner,Bookrunner,None,0.013333333333333334,0.16
Goldman Sachs,Commit,1100,150,6,Market,1,72,18.6,Bookrunner,Bookrunner,None,0.25833333333333336,0.13636363636363635
MUFG Union,Commit,1200,160,4,Market,1,118,19.2,Bookrunner,Bookrunner,None,0.16271186440677965,0.13333333333333333
Bank of America,Commit,1000,160,1,Below,2,105,17.9,Bookrunner,Bookrunner,None,0.17047619047619048,0.16
Bank of America,Commit,600,80,2,Market,2,43,6.7,Bookrunner,Bookrunner,None,0.1558139534883721,0.13333333333333333
MUFG Union,Decline,1100,80,3,Market,2,134,9.2,Bookrunner,Participant,Demoted,0.06865671641791045,0.07272727272727272
Deutsche Bank,Decline,800,100,1,Below,2,63,1.6,Bookrunner,Bookrunner,None,0.025396825396825397,0.125
Deutsche Bank,Decline,1800,300,4,Market,1,104,7.3,Bookrunner,Bookrunner,None,0.07019230769230769,0.16666666666666666
Wells Fargo,Commit,800,120,3,Market,2,65,5.7,Bookrunner,Bookrunner,None,0.0876923076923077,0.15
Bank of America,Commit,500,100,1,Market,2,39,3.2,Bookrunner,Bookrunner,None,0.08205128205128205,0.2
Deutsche Bank,Decline,1200,140,5,Above,1,103,14.1,Bookrunner,Participant,Demoted,0.13689320388349513,0.11666666666666667
Bank of America,Commit,1000,170,6,Market,2,307,20.6,Participant,Bookrunner,Promoted,0.06710097719869708,0.17
Bank of America,Commit,900,170,3,Market,2,99,5.0,Bookrunner,Bookrunner,None,0.050505050505050504,0.18888888888888888
Wells Fargo,Commit,1000,200,8,Market,0,120,8.3,Bookrunner,Bookrunner,None,0.06916666666666667,0.2
Deutsche Bank,Decline,1300,150,6,Market,1,120,31.1,Bookrunner,Participant,Demoted,0.25916666666666666,0.11538461538461539
Bank of America,Commit,900,140,1,Market,1,33,7.8,Bookrunner,Bookrunner,None,0.23636363636363636,0.15555555555555556
Bank of America,Commit,800,100,2,Above,2,96,0.2,Bookrunner,Bookrunner,None,0.0020833333333333333,0.125
Bank of America,Commit,1200,210,9,Market,0,141,19.2,Bookrunner,Bookrunner,None,0.13617021276595745,0.175
Wells Fargo,Commit,400,70,2,Market,2,24,0.6,Bookrunner,Bookrunner,None,0.024999999999999998,0.175
Deutsche Bank,Commit,1400,230,8,Market,0,63,11.4,Bookrunner,Bookrunner,None,0.18095238095238095,0.16428571428571428
Wells Fargo,Decline,1200,120,6,Market,1,73,12.1,Bookrunner,Participant,Demoted,0.16575342465753423,0.1
Bank of America,Commit,1300,160,6,Above,1,128,25.3,Bookrunner,Bookrunner,None,0.19765625,0.12307692307692308
Bank of America,Commit,1500,190,7,Market,0,172,21.2,Bookrunner,Bookrunner,None,0.12325581395348836,0.12666666666666668
Deutsche Bank,Decline,400,60,2,Market,2,95,7.4,Bookrunner,Bookrunner,None,0.07789473684210527,0.15
MUFG Union,Commit,1900,410,8,Market,0,274,44.7,Bookrunner,Bookrunner,None,0.16313868613138688,0.21578947368421053
Wells Fargo,Commit,1000,200,9,Above,1,161,21.4,Bookrunner,Bookrunner,None,0.13291925465838508,0.2
Deutsche Bank,Commit,900,150,3,Below,2,86,17.1,Participant,Bookrunner,Promoted,0.1988372093023256,0.16666666666666666
Deutsche Bank,Decline,900,90,1,Above,2,78,4.6,Participant,Participant,None,0.05897435897435897,0.1
Wells Fargo,Commit,1200,220,7,Market,1,185,18.7,Bookrunner,Bookrunner,None,0.10108108108108108,0.18333333333333332
MUFG Union,Commit,1400,230,3,Below,1,50,15.3,Bookrunner,Bookrunner,None,0.306,0.16428571428571428
Goldman Sachs,Commit,700,110,3,Market,2,41,10.5,Participant,Bookrunner,Promoted,0.25609756097560976,0.15714285714285714
Wells Fargo,Commit,1600,240,7,Below,0,357,28.6,Bookrunner,Bookrunner,None,0.08011204481792718,0.15
Deutsche Bank,Commit,1500,220,6,Market,1,162,43.4,Bookrunner,Bookrunner,None,0.2679012345679012,0.14666666666666667
Deutsche Bank,Commit,1400,200,2,Market,2,153,29.4,Bookrunner,Bookrunner,None,0.19215686274509802,0.14285714285714285
Deutsche Bank,Commit,1100,230,7,Market,0,60,21.5,Bookrunner,Bookrunner,None,0.35833333333333334,0.20909090909090908
MUFG Union,Commit,1000,150,5,Market,1,132,3.7,Bookrunner,Bookrunner,None,0.02803030303030303,0.15
Wells Fargo,Commit,500,40,3,Market,2,56,1.8,Participant,Participant,None,0.03214285714285715,0.08
MUFG Union,Decline,200,20,2,Below,2,20,1.3,Bookrunner,Participant,Demoted,0.065,0.1
Bank of America,Commit,600,120,2,Below,2,33,5.4,Participant,Bookrunner,Promoted,0.16363636363636364,0.2
MUFG Union,Commit,1600,270,8,Market,0,218,54.7,Bookrunner,Bookrunner,None,0.2509174311926606,0.16875
MUFG Union,Decline,500,60,3,Market,2,55,11.1,Bookrunner,Participant,Demoted,0.2018181818181818,0.12
Wells Fargo,Decline,600,60,1,Market,2,68,11.1,Bookrunner,Participant,Demoted,0.16323529411764706,0.1
MUFG Union,Commit,1500,220,3,Market,3,241,16.1,Bookrunner,Bookrunner,None,0.06680497925311205,0.14666666666666667
Goldman Sachs,Commit,1100,180,9,Above,0,125,32.5,Bookrunner,Bookrunner,None,0.26,0.16363636363636364
Deutsche Bank,Commit,1400,240,5,Market,1,146,5.8,Participant,Bookrunner,Promoted,0.03972602739726027,0.17142857142857143
MUFG Union,Commit,800,80,3,Market,2,81,8.3,Participant,Participant,None,0.10246913580246915,0.1
Bank of America,Commit,500,60,3,Above,2,72,9.0,Bookrunner,Bookrunner,None,0.125,0.12
Bank of America,Commit,1100,150,9,Market,0,103,1.1,Participant,Bookrunner,Promoted,0.010679611650485438,0.13636363636363635
Goldman Sachs,Decline,600,30,1,Market,2,67,11.0,Bookrunner,Participant,Demoted,0.16417910447761194,0.05
Bank of America,Commit,200,30,2,Below,3,32,5.0,Participant,Bookrunner,Promoted,0.15625,0.15
MUFG Union,Commit,1500,300,3,Market,2,96,20.4,Bookrunner,Bookrunner,None,0.2125,0.2
Deutsche Bank,Decline,800,120,1,Market,2,52,3.5,Bookrunner,Bookrunner,None,0.0673076923076923,0.15
MUFG Union,Commit,200,30,3,Market,2,18,1.9,Bookrunner,Bookrunner,None,0.10555555555555556,0.15
Goldman Sachs,Commit,800,100,1,Market,2,65,12.9,Bookrunner,Bookrunner,None,0.19846153846153847,0.125
Wells Fargo,Commit,1100,200,2,Market,1,31,4.1,Bookrunner,Bookrunner,None,0.132258064516129,0.18181818181818182
Bank of America,Decline,1600,90,4,Market,1,104,11.5,Bookrunner,Participant,Demoted,0.11057692307692307,0.05625
Wells Fargo,Commit,1000,170,7,Market,0,68,3.4,Participant,Bookrunner,Promoted,0.049999999999999996,0.17
Bank of America,Commit,1500,200,8,Market,1,232,37.8,Bookrunner,Bookrunner,None,0.1629310344827586,0.13333333333333333
Deutsche Bank,Commit,1500,280,5,Market,1,146,29.8,Bookrunner,Bookrunner,None,0.20410958904109588,0.18666666666666668
Wells Fargo,Commit,900,120,1,Market,2,75,5.0,Bookrunner,Bookrunner,None,0.06666666666666667,0.13333333333333333
MUFG Union,Commit,900,120,3,Above,2,110,15.7,Bookrunner,Bookrunner,None,0.14272727272727273,0.13333333333333333
Deutsche Bank,Commit,1300,180,9,Market,0,94,19.8,Bookrunner,Bookrunner,None,0.21063829787234042,0.13846153846153847
Deutsche Bank,Commit,700,110,5,Market,1,74,22.3,Bookrunner,Bookrunner,None,0.3013513513513514,0.15714285714285714
Wells Fargo,Commit,1600,190,6,Market,1,205,45.3,Bookrunner,Bookrunner,None,0.22097560975609754,0.11875
Deutsche Bank,Commit,800,110,2,Above,2,76,3.9,Participant,Bookrunner,Promoted,0.05131578947368421,0.1375
Goldman Sachs,Commit,1400,170,6,Market,1,170,29.6,Bookrunner,Bookrunner,None,0.17411764705882354,0.12142857142857143
Bank of America,Commit,1600,250,10,Market,0,194,33.8,Bookrunner,Bookrunner,None,0.17422680412371133,0.15625
Bank of America,Decline,1400,120,2,Market,1,61,7.5,Bookrunner,Participant,Demoted,0.12295081967213115,0.08571428571428572
Deutsche Bank,Decline,1300,300,9,Market,0,131,2.5,Bookrunner,Bookrunner,None,0.019083969465648856,0.23076923076923078
Bank of America,Commit,1700,230,5,Market,1,223,18.1,Bookrunner,Bookrunner,None,0.08116591928251121,0.13529411764705881
MUFG Union,Commit,1100,190,5,Market,2,192,2.3,Bookrunner,Bookrunner,None,0.011979166666666666,0.17272727272727273
MUFG Union,Commit,1000,140,4,Below,2,166,38.3,Bookrunner,Bookrunner,None,0.23072289156626505,0.14
